WARNING 2025-06-12 00:30:44,026 basehttp 6976 21120 "GET /wp-admin/ HTTP/1.1" 403 37
WARNING 2025-06-12 00:30:44,035 log 6976 788 Forbidden: /admin.php
WARNING 2025-06-12 00:30:44,040 basehttp 6976 788 "GET /admin.php HTTP/1.1" 403 37
WARNING 2025-06-12 00:30:44,049 log 6976 21616 Forbidden: /
WARNING 2025-06-12 00:30:44,052 basehttp 6976 21616 "GET /?id=1%20OR%201=1 HTTP/1.1" 403 35
WARNING 2025-06-12 00:30:44,062 log 6976 14332 Forbidden: /index.php
WARNING 2025-06-12 00:30:44,064 basehttp 6976 14332 "GET /index.php?page=../../../etc/passwd HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,143 log 6976 23604 Forbidden: /
WARNING 2025-06-12 00:31:16,144 basehttp 6976 23604 "GET / HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,151 log 6976 21176 Forbidden: /
WARNING 2025-06-12 00:31:16,152 basehttp 6976 21176 "GET / HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,272 log 6976 21064 Forbidden: /
WARNING 2025-06-12 00:31:16,280 basehttp 6976 21064 "GET / HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,398 log 6976 20400 Forbidden: /
WARNING 2025-06-12 00:31:16,399 basehttp 6976 20400 "GET / HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,509 log 6976 8060 Forbidden: /
WARNING 2025-06-12 00:31:16,510 basehttp 6976 8060 "GET / HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,616 log 6976 23692 Forbidden: /
WARNING 2025-06-12 00:31:16,617 basehttp 6976 23692 "GET / HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,736 log 6976 23160 Forbidden: /wp-admin/
WARNING 2025-06-12 00:31:16,739 basehttp 6976 23160 "GET /wp-admin/ HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,749 log 6976 8340 Forbidden: /admin.php
WARNING 2025-06-12 00:31:16,751 basehttp 6976 8340 "GET /admin.php HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,755 log 6976 23312 Forbidden: /
WARNING 2025-06-12 00:31:16,756 basehttp 6976 23312 "GET /?id=1%20OR%201=1 HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,765 log 6976 21708 Forbidden: /index.php
WARNING 2025-06-12 00:31:16,766 basehttp 6976 21708 "GET /index.php?page=../../../etc/passwd HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,773 log 6976 18176 Forbidden: /
WARNING 2025-06-12 00:31:16,776 basehttp 6976 18176 "GET / HTTP/1.1" 403 35
WARNING 2025-06-12 00:31:16,782 log 6976 23040 Forbidden: /
WARNING 2025-06-12 00:31:16,782 basehttp 6976 23040 "GET / HTTP/1.1" 403 35
INFO 2025-06-12 00:32:00,834 autoreload 13028 10432 D:\Websites\Hyperwave\core\middleware.py changed, reloading.
INFO 2025-06-12 00:32:01,305 autoreload 6976 7584 D:\Websites\Hyperwave\core\middleware.py changed, reloading.
INFO 2025-06-12 00:32:02,744 autoreload 17072 3588 Watching for file changes with StatReloader
INFO 2025-06-12 00:32:03,430 autoreload 19976 3060 Watching for file changes with StatReloader
INFO 2025-06-12 00:32:26,245 basehttp 17072 20124 "GET / HTTP/1.1" 200 106438
INFO 2025-06-12 00:32:26,255 basehttp 17072 24476 "GET / HTTP/1.1" 200 106438
INFO 2025-06-12 00:32:26,372 basehttp 17072 16876 "GET / HTTP/1.1" 200 106438
INFO 2025-06-12 00:32:26,485 basehttp 17072 8100 "GET / HTTP/1.1" 200 106438
INFO 2025-06-12 00:32:26,605 basehttp 17072 24244 "GET / HTTP/1.1" 200 106438
INFO 2025-06-12 00:32:26,721 basehttp 17072 14576 "GET / HTTP/1.1" 200 106438
WARNING 2025-06-12 00:32:26,854 log 17072 15192 Forbidden: /wp-admin/
WARNING 2025-06-12 00:32:26,856 basehttp 17072 15192 "GET /wp-admin/ HTTP/1.1" 403 37
WARNING 2025-06-12 00:32:26,861 log 17072 22860 Forbidden: /admin.php
WARNING 2025-06-12 00:32:26,862 basehttp 17072 22860 "GET /admin.php HTTP/1.1" 403 37
INFO 2025-06-12 00:32:26,879 basehttp 17072 14540 "GET /?id=1%20OR%201=1 HTTP/1.1" 200 106486
WARNING 2025-06-12 00:32:26,891 log 17072 21508 Forbidden: /index.php
WARNING 2025-06-12 00:32:26,892 basehttp 17072 21508 "GET /index.php?page=../../../etc/passwd HTTP/1.1" 403 37
WARNING 2025-06-12 00:32:26,897 log 17072 20588 Forbidden: /
WARNING 2025-06-12 00:32:26,901 basehttp 17072 20588 "GET / HTTP/1.1" 403 37
INFO 2025-06-12 00:32:26,908 basehttp 17072 11092 "GET / HTTP/1.1" 200 106438
INFO 2025-06-12 00:32:28,192 autoreload 19976 3060 D:\Websites\Hyperwave\core\middleware.py changed, reloading.
INFO 2025-06-12 00:32:28,956 autoreload 17072 3588 D:\Websites\Hyperwave\core\middleware.py changed, reloading.
INFO 2025-06-12 00:32:30,055 autoreload 10536 7612 Watching for file changes with StatReloader
INFO 2025-06-12 00:32:31,019 autoreload 21064 3724 Watching for file changes with StatReloader
INFO 2025-06-12 00:33:53,780 basehttp 10536 12860 "GET /products/ HTTP/1.1" 200 184352
INFO 2025-06-13 06:47:18,961 autoreload 12864 14060 Watching for file changes with StatReloader
INFO 2025-06-13 06:47:23,634 basehttp 12864 9584 "GET / HTTP/1.1" 200 106438
INFO 2025-06-13 06:47:23,712 basehttp 12864 9584 "GET /static/css/style.css HTTP/1.1" 200 20501
INFO 2025-06-13 06:47:23,719 basehttp 12864 9584 "GET /static/js/main.js HTTP/1.1" 200 4423
INFO 2025-06-13 06:47:23,752 basehttp 12864 9584 "GET /static/images/logo.png HTTP/1.1" 200 91155
INFO 2025-06-13 06:47:23,774 basehttp 12864 9584 "GET /static/images/empowering%20digital%20transformation.jpg HTTP/1.1" 200 84134
INFO 2025-06-13 06:47:23,796 basehttp 12864 9584 "GET /static/images/home1.jpg HTTP/1.1" 200 170805
INFO 2025-06-13 06:47:23,853 basehttp 12864 14108 "GET /static/images/security%20systems.jpg HTTP/1.1" 200 30218
INFO 2025-06-13 06:47:23,918 basehttp 12864 9584 "GET /static/images/network%20infrastrcture.jpg HTTP/1.1" 200 2806027
INFO 2025-06-13 06:47:23,955 basehttp 12864 9584 "GET /static/images/home3.jpg HTTP/1.1" 200 86526
INFO 2025-06-13 06:47:24,008 basehttp 12864 14108 "GET /static/images/network.jpg HTTP/1.1" 200 1383692
INFO 2025-06-13 06:47:26,822 basehttp 12864 14108 "GET /products/ HTTP/1.1" 200 184352
INFO 2025-06-13 06:47:26,929 basehttp 12864 14108 "GET /static/images/High%20speed%20internet.jpg HTTP/1.1" 200 1254557
INFO 2025-06-13 06:47:26,933 basehttp 12864 9584 "GET /static/images/Public%20wifi%20hotspot.png HTTP/1.1" 200 1544928
INFO 2025-06-13 06:47:27,020 basehttp 12864 9584 "GET /static/images/vision.jpg HTTP/1.1" 200 30175
INFO 2025-06-13 06:50:30,604 basehttp 12864 9584 "GET /blog/ HTTP/1.1" 200 71296
